variable,distribution,lower,median,upper,label
n_years,const,5,,5,number of years (yr)
var_CV,tnorm_0_1,0.1,,0.5,coefficient of variation (%)
discount_rate,posnorm,4,,8,discount rate (%)
inflation_rate,posnorm,5,,10,Inflation rate (%)

Te_noncom,tnorm_0_1,0.01,,0.2,Non-compliance of teacher (%)
Pa_noncom_ng,tnorm_0_1,0.01,,0.1,Non-compliance of parents due to neglect (%)
Pa_noncom_sf,tnorm_0_1,0.1,,0.3,Non-compliance of parents due to self-sufficieny (%)
St_noncom,tnorm_0_1,0.1,,0.2,Non-compliance of students (%)

Nu_low_skill,tnorm_0_1,0.001,,0.01,Risk low knowledge of nurse/ nutritionist (%)
Cost_nu_low_skill,tnorm_0_1,0.01,,0.1,Cost_nutritionist_low_skill (%)
Worker_low_skill,tnorm_0_1,0.01,,0.1,Risk low skill (knowledge) of kitchen workers (%)
Cost_worker_low_skill,tnorm_0_1,0.02,,0.1,Cost_worker_low_skill (%)
No_food_safety,tnorm_0_1,0.01,,0.1,"Risk of no food safety, hygiene and sanitation (%)"

Food_waste_loss,posnorm,2500,,5000,Amount of food waste and loss (USD/yr)

If_natural_hazard,tnorm_0_1,0.001,,0.01,Risk of natural hazard (%)
Cost_natural_hazard,tnorm_0_1,0.1,,0.3,Cost_natural_hazard (%)

If_power_outage,tnorm_0_1,0.2,,0.5,Risk of power outage (%)
Cost_power_outage_fuel,tnorm_0_1,0.1,,0.3,Cost_power_outage_fuel (%)
Cost_power_outage_food,tnorm_0_1,0.01,,0.1,Cost_power_outage_food (%)
Saving_electricity,tnorm_0_1,0.2,,0.5,Saving electricity (%)

If_lunch_policy,tnorm_0_1,0.3,,0.5,Chance of lunch policy (%)
Policy_increase_lunchsales,posnorm,3000,,5000,Increased lunch sales (USD/yr)
Policy_increase_Ogfunding,posnorm,10000,,20000,Increased orginzational funding (USD/yr)
Policy_increase_Dofunding,posnorm,3000,,7000,Increased donor funding (USD/yr)
If_investment,tnorm_0_1,0.3,,0.5,Chance of investment (%)
Initial_investment,tnorm_0_1,0.2,,0.6,Initial investment (%)

If_summer_class,tnorm_0_1,0.2,,0.5,Chance of summer cooking class (%)
Profit_summer_class,posnorm,10000,,50000,Profit from summer cooking class (USD/yr)
Cost_summer_class,posnorm,5000,,20000,Cost for summer cooking class (USD/yr)

Og_increased_funding,tnorm_0_1,0.3,,0.6,Increased funding from organization (%)
Do_increased_funding,tnorm_0_1,0.2,,0.5,Increased funding from individual donors (%)
Profit_increased_enrollment,tnorm_0_1,0.2,,0.5,Increased profit from increased enrollment (%)
Unit_lunch_value,posnorm,0.3,,3,Lunch value per unit (USD/unit)
Saving_supplementary_food,tnorm_0_1,0.3,,0.6,Saving from reduced cost of supplementary food (%)

Cost_construction,posnorm,10000,,30000,Cost of kitchen construction or renovation (USD)
Cost_installation,posnorm,5000,,20000,Cost of kitchen installation (USD)
Cost_equipment,posnorm,3000,,8000,Cost of equipment (USD)
Cost_utensil,posnorm,1000,,5000,Cost of kitchen utensil (USD)

Cost_electricity,posnorm,2000,,5000,Cost of electricity (USD/ yr)
Cost_water,posnorm,1000,,3000,Cost of water (USD/yr)
Cost_cooking_gas,posnorm,1000,,3000,Cost of cooking gas (USD/yr)
Cost_fuel,posnorm,2000,,4000,Cost of fuel (USD/yr)
Cost_fresh_goods,posnorm,5000,,15000,Cost of fresh goods (USD/ yr)
Cost_dry_goods,posnorm,5000,,20000,Cost of dry goods (USD/ yr)
Cost_salary,posnorm,5000,,20000,Cost of payment for staff (USD/ yr)
Cost_training,posnorm,1000,,5000,Cost of training (USD/ yr)
Cost_maintenance,posnorm,2000,,4000,Cost of maintenance (USD/ yr)
Cost_menu_printing,posnorm,1000,,3000,Cost of menu printing (USD/ yr)

Number_student_paid,posnorm,1000,,5000,Number of students paid for lunch 
Number_student_unpaid,posnorm,100,,500,Number of students not paid for lunch
Og_funding,posnorm,5000,,20000,Funding from organization (USD/yr)
Do_funding,posnorm,3000,,10000,Funding from individual donors (USD/yr)
Profit_enrollment,posnorm,1000,,10000,Profit from enrollment (USD/yr)
Cost_supplementary_food,posnorm,500,,8000,Cost of supplementary food (USD/ yr)
